profesor,dep,num_reviews,rating,name,enlace
"A. Mason, Tere",Psicología/CCC,3,6.7,"a. mason, tere",https://www.misprofesores.com/profesores/Tere-A.-Mason_172910
"Abrego González, Leticia",Psicología Clínica,14,3.6,"abrego gonzalez, leticia",https://www.misprofesores.com/profesores/Leticia-Abrego-Gonzalez_45714
"Acosta Galván, Samuel",clínica,18,7.3,"acosta galvan, samuel",https://www.misprofesores.com/profesores/Samuel-Acosta-Galvan_127536
"Acuña, Laura",Estadistica,27,6.2,"acuna, laura",https://www.misprofesores.com/profesores/Laura-Acuna_33416
"Aguayo, Alejandra",,13,7.2,"aguayo, alejandra",https://www.misprofesores.com/profesores/Alejandra-Aguayo_64512
"Aguilar Arredondo, Andrea",psicología,1,9.0,"aguilar arredondo, andrea",https://www.misprofesores.com/profesores/Andrea-Aguilar-Arredondo_79783
"Aguilar Nery, Jesús",Psicología de la Educación,1,9.0,"aguilar nery, jesus",https://www.misprofesores.com/profesores/Jesus-Aguilar-Nery_78850
"Aguilar Ribera, UNIBERCIDAD.AUTÓNOMA DE MEXICO",Piciocologuia,1,10.0,"aguilar ribera, unibercidad.autonoma de mexico",https://www.misprofesores.com/profesores/UNIBERCIDAD.AUTONOMA-DE MEXICO-Aguilar-Ribera_137190
"ALANIS, MARIA TERESA",,9,6.7,"alanis, maria teresa",
"alatorre rico, javier",psicologia/ educativa,89,5.4,"alatorre rico, javier",https://www.misprofesores.com/profesores/javier-alatorre-rico_32238
"Alburquerque, Carlos",,88,7.3,"alburquerque, carlos",https://www.misprofesores.com/profesores/Carlos-Alburquerque_26672
"Alcalá Herrera, Verónica Ma. del Consuelo",Psicofisiología,114,5.3,"alcala herrera, veronica ma. del consuelo",https://www.misprofesores.com/profesores/Veronica-Ma. del Consuelo-Alcala-Herrera_19932
"Almaguer Azpeitia, Mariel",CCC,14,9.3,"almaguer azpeitia, mariel",https://www.misprofesores.com/profesores/Mariel-Almaguer-Azpeitia_147489
"Almaguer Salcido, Carol",Psicologia,1,5.0,"almaguer salcido, carol",https://www.misprofesores.com/profesores/Carol-Almaguer-Salcido_163918
"Almaguer, Carol",Administracion,1,3.0,"almaguer, carol",https://www.misprofesores.com/profesores/Carol-Almaguer_164001
"Almazán Rojas, Carla Ailed",Psicología Clínica,4,6.3,"almazan rojas, carla ailed",https://www.misprofesores.com/profesores/Carla-Ailed-Almazan-Rojas_160860
"Alonso Orozco, Adriana Ixel",Contextual,16,9.8,"alonso orozco, adriana ixel",https://www.misprofesores.com/profesores/Adriana-Ixel-Alonso-Orozco_124015
"Alva Canto, Elda Alicia",Contextual,1,2.0,"alva canto, elda alicia",https://www.misprofesores.com/profesores/Elda-Alicia-Alva-Canto_75325
"Alvarado Tenorio, Roberto",SUA Psicología,5,9.8,"alvarado tenorio, roberto",https://www.misprofesores.com/profesores/Roberto-Alvarado-Tenorio_31563
"Alvarez Martinez, Jorge",aproximación al proceso salud-enfermedad,9,6.3,"alvarez martinez, jorge",https://www.misprofesores.com/profesores/Jorge-Alvarez-Martinez_113601
"Alvarez, German",Facultad de Psicología,1,8.0,"alvarez, german",https://www.misprofesores.com/profesores/German-Alvarez_150405
"Amaya Mora, David",clinica,14,8.2,"amaya mora, david",https://www.misprofesores.com/profesores/David-Amaya-Mora_56656
"Ampudia, Amada",Clínica,75,6.5,"ampudia, amada",https://www.misprofesores.com/profesores/Amada-Ampudia_25227
"Anguiano Sánchez, Alfredo",Neuro,2,10.0,"anguiano sanchez, alfredo",https://www.misprofesores.com/profesores/Alfredo-Anguiano-Sanchez_163591
"Arce Velasco, Oscar Javier",Psicología Educativa,1,10.0,"arce velasco, oscar javier",https://www.misprofesores.com/profesores/Oscar-Javier-Arce-Velasco_43334
"Arenas, Paulina",Psicodiagnostico,29,8.0,"arenas, paulina",https://www.misprofesores.com/profesores/Paulina-Arenas_51373
"Arias Garcia, Mario Alberto",Neurociencias,1,10.0,"arias garcia, mario alberto",https://www.misprofesores.com/profesores/Mario-Alberto-Arias-Garcia_171803
"Arias Garcia, Mario Alberto",Neurociencias,1,10.0,"arias garcia, mario alberto",https://www.misprofesores.com/profesores/Mario-Alberto-Arias-Garcia_108453
"Arias García, Mario Alberto",Facultad de Psicología,18,9.4,"arias garcia, mario alberto",https://www.misprofesores.com/profesores/Mario-Alberto-Arias-Garcia_171803
"Arias García, Mario Alberto",Facultad de Psicología,18,9.4,"arias garcia, mario alberto",https://www.misprofesores.com/profesores/Mario-Alberto-Arias-Garcia_108453
"Arias Trejo, Natalia",conocimiento de frontera I,6,6.3,"arias trejo, natalia",https://www.misprofesores.com/profesores/Natalia-Arias-Trejo_71800
"Armenta Hurtarte, Carolina",Psicología Social,14,8.9,"armenta hurtarte, carolina",https://www.misprofesores.com/profesores/Carolina-Armenta-Hurtarte_108423
"Arroyo, Monserrat",CCC,3,5.7,"arroyo, monserrat",https://www.misprofesores.com/profesores/Monserrat-Arroyo_107327
"Augusto, Martínez Ruvalcaba",Psicología Clínica,9,9.7,"augusto, martinez ruvalcaba",
"Auron Zaltzman, David",Psicología Clínica,31,4.7,"auron zaltzman, david",https://www.misprofesores.com/profesores/David-Auron-Zaltzman_19948
"Avelar Rodríguez, Cristina",Psicología Experimental,71,8.8,"avelar rodriguez, cristina",https://www.misprofesores.com/profesores/Cristina-Avelar-Rodriguez_42363
"Avendaño Sandoval, Ma. del Rocío Purificación",Psicología Experimental,18,5.9,"avendano sandoval, ma. del rocio purificacion",https://www.misprofesores.com/profesores/Ma.-del Rocio Purificacion-Avendano-Sandoval_19936
"Avendaño, Rocio",,29,6.3,"avendano, rocio",https://www.misprofesores.com/profesores/Rocio-Avendano_23766
"Avendaño, Rocio",,29,6.3,"avendano, rocio",https://www.misprofesores.com/profesores/Rocio-Avendano_23765
"Avendaño, Rocio",Psicología,15,6.3,"avendano, rocio",https://www.misprofesores.com/profesores/Rocio-Avendano_23766
"Avendaño, Rocio",Psicología,15,6.3,"avendano, rocio",https://www.misprofesores.com/profesores/Rocio-Avendano_23765
"AVILA CALDERON, JOSE LUIS SALVADOR",educativa,3,8.7,"avila calderon, jose luis salvador",https://www.misprofesores.com/profesores/JOSE-LUIS SALVADOR-AVILA-CALDERON_55493
"Ayala Guerrero, Fructuoso",Psicofisiología,18,8.6,"ayala guerrero, fructuoso",https://www.misprofesores.com/profesores/Fructuoso-Ayala-Guerrero_33730
"Ayala Murguía, David Francisco",Psicología clínica y de la salud,3,3.7,"ayala murguia, david francisco",https://www.misprofesores.com/profesores/David-Francisco-Ayala-Murguia_134345
"Ayala, David",Teorias de la Pers. y Neurosis,20,7.0,"ayala, david",https://www.misprofesores.com/profesores/David-Ayala_28276
"Bachá Méndez, Gustavo",Psicología Experimental,90,8.4,"bacha mendez, gustavo",https://www.misprofesores.com/profesores/Gustavo-Bacha-Mendez_26068
"Baroja Manzano, José Luis",CTX,7,7.3,"baroja manzano, jose luis",https://www.misprofesores.com/profesores/Jose-Luis-Baroja-Manzano_83906
"Baroja, José Luis",Psicología UNAM,3,4.7,"baroja, jose luis",
"barrera garcia, kirareset",facultad de psicologia UNAM,1,2.0,"barrera garcia, kirareset",https://www.misprofesores.com/profesores/kirareset-barrera-garcia_90293
"barrera garcia, kirareset",facultad de psicologia UNAM,1,2.0,"barrera garcia, kirareset",https://www.misprofesores.com/profesores/Kirareset-Barrera-Garcia_180387
"Barrera Gutierrez, Jose Luis",Clinica,40,9.6,"barrera gutierrez, jose luis",https://www.misprofesores.com/profesores/Jose-Luis-Barrera-Gutierrez_123017
"Barrera Olmedo, María José",Social,5,8.8,"barrera olmedo, maria jose",https://www.misprofesores.com/profesores/Maria-Jose-Barrera-Olmedo_80779
"Barrera, Kirareset",SUA,16,6.4,"barrera, kirareset",https://www.misprofesores.com/profesores/Kirareset-Barrera_30448
"Bautista López, Angélica","Lenguaje,sentido y acción social",14,7.3,"bautista lopez, angelica",https://www.misprofesores.com/profesores/Angelica-Bautista-Lopez_58793
"Bautista López, Angélica Leticia",Psicología Social,16,9.3,"bautista lopez, angelica leticia",https://www.misprofesores.com/profesores/Angelica-Leticia-Bautista-Lopez_58868
"Bautista Padilla, Joaquin Alberto",Psicología Social,8,9.6,"bautista padilla, joaquin alberto",https://www.misprofesores.com/profesores/Joaquin-Alberto-Bautista-Padilla_75937
"Bazan, Raymundo",CCC,1,10.0,"bazan, raymundo",https://www.misprofesores.com/profesores/Raymundo-Bazan_180957
"BAÑUELOS MARQUEZ, ANA MARIA",TEORIA SOCIOCULTURAL,6,9.3,"banuelos marquez, ana maria",https://www.misprofesores.com/profesores/ANA-MARIA-BANUELOS-MARQUEZ_75713
"BAÑUELOS MARQUEZ, ANA MARIA",TEORIA SOCIOCULTURAL,6,9.3,"banuelos marquez, ana maria",https://www.misprofesores.com/profesores/Ana-Maria-Banuelos-Marquez_172884
"Becerril Pérez, María Santos",Psicología Clínica,17,9.2,"becerril perez, maria santos",https://www.misprofesores.com/profesores/Maria-Santos-Becerril-Perez_64249
"Bedolla Miranda, Patricia Josefina",,26,6.7,"bedolla miranda, patricia josefina",https://www.misprofesores.com/profesores/Patricia-Josefina-Bedolla-Miranda_41380
"Bello Calleja, Nazira",Posgrado Social,14,9.4,"bello calleja, nazira",https://www.misprofesores.com/profesores/Nazira-Bello-Calleja_30429
"Benavides, Rodrigo",Contextual,15,8.2,"benavides, rodrigo",https://www.misprofesores.com/profesores/Rodrigo-Benavides_123970
"Benjet, Corina",Métodos de investigación,5,9.8,"benjet, corina",https://www.misprofesores.com/profesores/Corina-Benjet_66172
"Benítez Islas, José Luis",Facultad de Psicología,43,9.1,"benitez islas, jose luis",https://www.misprofesores.com/profesores/Jose-Luis-Benitez-Islas_59272
"berlanga, fabiola",teoría psicogenética,11,9.5,"berlanga, fabiola",https://www.misprofesores.com/profesores/fabiola-berlanga_155701
"Bermudez Lozano, Patricia",Educativa,2,9.0,"bermudez lozano, patricia",https://www.misprofesores.com/profesores/Patricia-Bermudez-Lozano_124767
"Bernal Gamboa, Rodolfo",CCC,50,7.7,"bernal gamboa, rodolfo",https://www.misprofesores.com/profesores/Rodolfo-Bernal-Gamboa_63960
"Bernal Álvarez, Yolanda",Educativa,15,5.7,"bernal alvarez, yolanda",https://www.misprofesores.com/profesores/Yolanda-Bernal-Alvarez_49801
"Bojalil Muños, Juan Carlos",Clinica,7,5.6,"bojalil munos, juan carlos",https://www.misprofesores.com/profesores/Juan-Carlos-Bojalil-Munos_134522
"Bouzas Riaño, Arturo",experiemntal,95,7.0,"bouzas riano, arturo",https://www.misprofesores.com/profesores/Arturo-Bouzas-Riano_26598
"Bravo Doddoli, Andrea",Social,1,9.0,"bravo doddoli, andrea",https://www.misprofesores.com/profesores/Andrea-Bravo-Doddoli_172162
"Brito, luis Fernando",sociocultural,27,4.8,"brito, luis fernando",
"Bruggman Garcia, Annemarie",educativa,7,7.4,"bruggman garcia, annemarie",https://www.misprofesores.com/profesores/Annemarie-Bruggman-Garcia_38184
"Bruner, Carlos",Experimental,16,5.8,"bruner, carlos",https://www.misprofesores.com/profesores/Carlos-Bruner_35642
"Bustos de la Tijera, Leticia",Clínica,39,5.9,"bustos de la tijera, leticia",https://www.misprofesores.com/profesores/Leticia-Bustos-de la Tijera_26625
"BUSTOS ROMERO, OLGA",SOCIAL,17,6.9,"bustos romero, olga",https://www.misprofesores.com/profesores/OLGA-BUSTOS-ROMERO_26626
"buzo casanova, enrique",,72,8.9,"buzo casanova, enrique",https://www.misprofesores.com/profesores/enrique-buzo-casanova_36970
"Caballero Meneses, Jonathan",Educativa,4,8.3,"caballero meneses, jonathan",https://www.misprofesores.com/profesores/Jonathan-Caballero-Meneses_60602
"Caballero, Alejandra",Psicologia,1,3.0,"caballero, alejandra",https://www.misprofesores.com/profesores/Alejandra-Caballero_158102
"Cabrera Zamora, Ingrid Marissa",Medición y evaluación psicológica,51,8.2,"cabrera zamora, ingrid marissa",https://www.misprofesores.com/profesores/Ingrid-Marissa-Cabrera-Zamora_41356
"Caceres Alvarado, Luis Emilio",ACA II Y III,55,6.3,"caceres alvarado, luis emilio",https://www.misprofesores.com/profesores/LUIS-EMILIO-CACERES-ALVARADO_133340
"Caceres Alvarado, Luis Emilio",ACA II Y III,55,6.3,"caceres alvarado, luis emilio",https://www.misprofesores.com/profesores/Luis-Emilio-Caceres-Alvarado_41357
"Caletti, Anaid",Educativa,8,9.0,"caletti, anaid",https://www.misprofesores.com/profesores/Anaid-Caletti_54437
"Calixto González, Jaime Eduardo",Psicofisiología,35,7.6,"calixto gonzalez, jaime eduardo",https://www.misprofesores.com/profesores/Jaime-Eduardo-Calixto-Gonzalez_41403
"Calixto, Yael",Facultad de psicología,15,9.2,"calixto, yael",https://www.misprofesores.com/profesores/Yael-Calixto_108763
"Calleja Bello, Nazira",Social,15,9.7,"calleja bello, nazira",https://www.misprofesores.com/profesores/Nazira-Calleja-Bello_51251
"camacho, miriam",psicoloia social de los grupos,51,7.7,"camacho, miriam",https://www.misprofesores.com/profesores/miriam-camacho_30260
"Campos Coy, Patricia Edith",Psicofisiología,16,7.9,"campos coy, patricia edith",https://www.misprofesores.com/profesores/Patricia-Edith-Campos-Coy_44570
"Campos Morales, Rosa Ma.",Psicofisiología,10,7.7,"campos morales, rosa ma.",https://www.misprofesores.com/profesores/Rosa-Ma.-Campos-Morales_19947
"Canchola Castillo, Jair",Neurodiversidad,2,5.0,"canchola castillo, jair",https://www.misprofesores.com/profesores/Jair-Canchola-Castillo_179641
"Cano Salazar, Maria Elena",Facultad de Ingenieria DCSyH,1,10.0,"cano salazar, maria elena",https://www.misprofesores.com/profesores/Maria-Elena-Cano-Salazar_90180
"Cansino, Selene",Psicologia UNAM,4,5.3,"cansino, selene",https://www.misprofesores.com/profesores/Selene-Cansino_42897
"Carbajal, Edith",Psicologìa Educativa,1,10.0,"carbajal, edith",https://www.misprofesores.com/profesores/Edith-Carbajal_124700
"Cardenas Lopez, Aurora",Aproximaciones al Proceso salud enfermedad,8,9.1,"cardenas lopez, aurora",https://www.misprofesores.com/profesores/Aurora-Cardenas-Lopez_68447
