profesor,fecha,comentario,calidad_general,facilidad
"Abrego González, Leticia",14/May/2021,,2.0,2.0
"Abrego González, Leticia",16/Ene/2017,,2.0,2.0
"Abrego González, Leticia",31/Jul/2015,nunca asiste o llega tarde se la pasa comiendo en clase no le importa la clase ni el alumno.,4.0,8.0
"Abrego González, Leticia",09/Jul/2015,"casi nunca va, y cuando va deja tareas en equipo algo interesantes pero como exponen todos en un dia es muy muy aburrida. Es un trasatlantico. Y nos ilusiono con llevarnos a un psiquiatrico y nunca nos llevo",6.0,10.0
"Abrego González, Leticia",25/Jul/2014,"Es una maestra pésima, me tocó en la práctica solamente pero aún así es malísima. Falta demasiado y sin avisar, es grosera, ella siempre cree que tiene la razón y su biblia es el DSM IV. En sus exámenes luego pregunta cosas que ni vimos en clase. No la recomiendo en lo absoluto.",2.0,6.0
"Abrego González, Leticia",08/Jul/2014,"No asiste, no le interesa que aprendas, no te dará calificación. Pero igual si haces lo que se le ocurra dejar pasas",3.0,6.0
"Abrego González, Leticia",01/Jul/2014,"Se nota su falta de interés. Obviamente no aprendes nada, y te hace gastar tu tiempo. Fue una clase totalmente perdida. No la recomiendo en lo absoluto, evítenla.",2.0,8.0
"Abrego González, Leticia",12/Jun/2014,"Es pésima, no asiste, es desinteresada, muy floja, la tuve en práctica y hasta la profesora de teoría la odió. Te cita en el hospital y se le olvida, no contesta los mensajes... ¡EVÍTENLA!Desgraciadamente que sean profesores de la UNAM no siempre es sinónimo de calidad, para nada.",2.0,10.0
"Abrego González, Leticia",20/May/2014,[Comentario esperando revisión],10.0,10.0
"Abrego González, Leticia",25/Jul/2013,,2.0,2.0
"Abrego González, Leticia",08/Jul/2014,"No asiste, no le interesa que aprendas, no te dará calificación. Pero igual si haces lo que se le ocurra dejar pasas",3.0,6.0
"Abrego González, Leticia",01/Jul/2014,"Se nota su falta de interés. Obviamente no aprendes nada, y te hace gastar tu tiempo. Fue una clase totalmente perdida. No la recomiendo en lo absoluto, evítenla.",2.0,8.0
"Abrego González, Leticia",12/Jun/2014,"Es pésima, no asiste, es desinteresada, muy floja, la tuve en práctica y hasta la profesora de teoría la odió. Te cita en el hospital y se le olvida, no contesta los mensajes... ¡EVÍTENLA!Desgraciadamente que sean profesores de la UNAM no siempre es sinónimo de calidad, para nada.",2.0,10.0
"Abrego González, Leticia",20/May/2014,[Comentario esperando revisión],10.0,10.0
"Abrego González, Leticia",25/Jul/2013,,2.0,2.0
"Abrego González, Leticia",21/Feb/2013,"Nunca asistía a dar clase, sólo nos citaba en el hospital donde hacíamos las prácticas pero ella nunca explicó nada importante. Muy mala, y no entiendo qué hace dando clase en la Facultad.",2.0,10.0
"Abrego González, Leticia",11/Feb/2013,Se supone que daba prácticas pero no dio nada y a todos nos pasó con 10.,2.0,10.0
"Abrego González, Leticia",09/Dic/2012,"A nuestro grupo solo nos dio práctica, o al menos eso deberia de haber echo. Si durante todo el semestre fue a clases 5 veces es mucho.. y la primera vez que fue solo era para asoganr equipos, de ahi solo veias un caso y ya. Al final le gano horrible la flojera horriblemente. Malisima.",6.0,10.0
"Abrego González, Leticia",30/Jul/2012,"Como profesora de práctica de salud enfermedad el pro es que podemos ver pacientes en vivo y a todo color el contra es que honestamente se le nota poco interes en los equipos, solo pide llevar información del padecimiento, algun miembro del equipo aplica alguna prueba y su intervención es limitada.",5.0,6.0
"Acosta Galván, Samuel",12/Ago/2024,"Aprenderás mucho sobre psicología jurídica, que es un área que pocos profes (no hay otro en la fac) llevan a cabo, es muy amable y su labor es de admirar, ayuda a niñxs abusadxs y aborda derechos humanos en NNA, es muy buen profesional y persona. Si piden ver pruebas las dará y ayudará.",8.0,10.0
"Acosta Galván, Samuel",14/Ene/2024,"Sus clases son de psicología enfocada a lo legal enfocado a infancias, si no vas para ese enfoque o no te llama la atención no lo metas, porque vas a terminar decepcionade por no ver el temario. Es muy buen maestro porque explica bien y no es difícil pasar siempre que entregues todo.",9.0,6.0
"Acosta Galván, Samuel",13/Ene/2024,"Es una persona amable y con mucha experiencia que no sabe transmitir. Las clases a veces se vuelven tediosas si no hay participación, evalúa con exposiciones muy largas y trabajos en equipo. No es difícil pasar pero no aprendes mucho.",8.0,8.0
"Acosta Galván, Samuel",27/Jul/2023,"Solo dio clase como 3 días y los demás fueron solo participaciones de los alumnos, comentarios, opiniones y el profe te complementaba tu opinión, lo que me hizo aburrida la clase y muy larga. No vimos nada del temario, no prácticas, si esperas ver y aplicar pruebas, entrevistar...no lo metas",3.0,8.0
"Acosta Galván, Samuel",25/Jul/2023,[Comentario esperando revisión],5.0,4.0
"Acosta Galván, Samuel",03/Jul/2023,"No vimos nada de psicodx, ni pruebas o entrevistas del ámbito jurídico (que es lo que al inicio del semestre dijo que haríamos), solo vimos derechos e hicimos muchos cuadros de reparación de daños. Parecía seminario, el ""tema"" salía de la plática, participar y ver que puso cada equipo en su cuadro",5.0,10.0
"Acosta Galván, Samuel",29/Jun/2023,"No cabe duda que es un excelente profesional...pero no vimos nada del programa de la materia, en serio nada. Se enfocó todo el semestre en ""explicar"" una introducción de psicología jurídica y los NNA. Si te interesa psicodiagnóstico entonces no lo metas.",5.0,6.0
"Acosta Galván, Samuel",26/Jun/2023,"No vimos nada del programa, pocas clases fueron interesantes pero en general fueron tediosas. Sus clases son de psicología jurídica pero no vimos nada de entrevista ni evaluación con niños ni con papás jaja fueron más derechos humanos. De las prácticas en escenario ni vale la pena, no hicimos nada",4.0,10.0
"Acosta Galván, Samuel",09/Jun/2023,"Me parece un buen maestro, las clases fueron atractivas, trabajamos todo el semestre en equipo, las actividades no eran tan complicadas, evaluó con dos trabajos finales (un ensayo en individual y un trabajo en equipo). Lo malo es que no vimos nada del programa, solo de psicología jurídica en niños.",10.0,6.0
"Acosta Galván, Samuel",18/Dic/2022,"Muy buen profesor si vas para clínica, deja muchas tareas y lecturas cada semana, eso es la evaluación, la participación y asistencia es importante.",10.0,10.0
"Acosta Galván, Samuel",07/Jun/2022,"Se pide tareas, asistencia y participación. Realiza varias actividades, debate de pelis, presentación de casos y expos. Pueden hacerse pesadas porque los demás no siguen las indicaciones de lo que pide el profe y la adjunta, pero en realidad es buena clase y si te esfuerzas no tendrás problema.",10.0,10.0
"Acosta Galván, Samuel",09/Ago/2021,"(Zoomestre) Me gustó mucho ya casi al final del semestre porque comenzamos a analizar varios casos y el nos daba muy buena retroalimentación, también nos explicaba con casos que el había atendido, la verdad lo disfrute mucho, aunque al principio si me aburrí con las exposiciones.",9.0,10.0
"Acosta Galván, Samuel",07/Mar/2021,[Comentario esperando revisión],6.0,8.0
"Acosta Galván, Samuel",04/Mar/2021,"Cambió mi manera de ver a los niños. Se preocupa porque comprendas lo que el autor deseaba transmitir y tú construyas tu propia concepto. Te ayuda a crecer, te permite hacer prácticas con pacientes reales, brindándote retroalimentación. Lo recomiendo totalmente.",10.0,8.0
"Acosta Galván, Samuel",03/Mar/2021,Sus ejemplos son muy buenos y siempre clarifica las dudas,10.0,6.0
"Acosta Galván, Samuel",07/Jun/2022,"Se pide tareas, asistencia y participación. Realiza varias actividades, debate de pelis, presentación de casos y expos. Pueden hacerse pesadas porque los demás no siguen las indicaciones de lo que pide el profe y la adjunta, pero en realidad es buena clase y si te esfuerzas no tendrás problema.",10.0,10.0
"Acosta Galván, Samuel",09/Ago/2021,"(Zoomestre) Me gustó mucho ya casi al final del semestre porque comenzamos a analizar varios casos y el nos daba muy buena retroalimentación, también nos explicaba con casos que el había atendido, la verdad lo disfrute mucho, aunque al principio si me aburrí con las exposiciones.",9.0,10.0
"Acosta Galván, Samuel",07/Mar/2021,[Comentario esperando revisión],6.0,8.0
"Acosta Galván, Samuel",04/Mar/2021,"Cambió mi manera de ver a los niños. Se preocupa porque comprendas lo que el autor deseaba transmitir y tú construyas tu propia concepto. Te ayuda a crecer, te permite hacer prácticas con pacientes reales, brindándote retroalimentación. Lo recomiendo totalmente.",10.0,8.0
"Acosta Galván, Samuel",03/Mar/2021,Sus ejemplos son muy buenos y siempre clarifica las dudas,10.0,6.0
"Acosta Galván, Samuel",11/Feb/2021,"En todo el semestre nos puso a exponer ya que el no daba el tema,la mayoría del tiempo estaba ausente y sus adjuntas manejaban la dinámica (ellas son muy amables), era algo pesado que una tras otra exposición nos mandara a salas a comentar. Lo único bueno son los casos y pruebas.",5.0,6.0
"Acosta Galván, Samuel",09/Feb/2021,"No dio nada del temario, quien sabe en qué se basó para sus clases. Aunque la verdad nunca dio clases, todas eran exposiciones por los alumnos sobre capítulos de libros y presentación de casos (pruebas que en parejas aplicábamos a una persona), las otras clases eran dadas por su adjunta.",5.0,8.0
"Acosta Galván, Samuel",07/Feb/2021,"La clase mayoritariamente la dieron sus adjuntas, en las pocas intervenciones que hizo rescató puntos importantes de la clase, dio ejemplos reales y aclaró dudas. Fue un poco difuso en cuanto a las pruebas a aplicar y se explicaron después de que los primeros equipos las aplicaron",10.0,8.0
"Acuña, Laura",30/Jun/2024,"Es de esas clases que son muy relajadas, PERO califica con puro exámen, 100%. Son 2 en total, con 30 preguntas, es lo que viene en la clase pero es muy exacto e incluso tiene sus incisos trampa que piensas que hay 2 respuestas cuando no. Si no le sabes a los exámenes mejor no la metas.",8.0,8.0
"Acuña, Laura",30/Jul/2021,"La Dra. es una buena opción para aprender de estadística si estás en ceros, te explica el fundamento y las aplicaciones de cada prueba y aclara cualquier duda. Utiliza poco material didáctico, pero fuera de eso, es una clase en la que aprendes bien y sin tanta presión.",9.0,8.0
"Acuña, Laura",09/Ago/2018,"Es de lujo. Es la única maestra de estadística de la faculta que explica claramente y fácil las cosas. Altamente recomendable, fin.",10.0,10.0
"Acuña, Laura",05/Ene/2017,,3.0,2.0
"Acuña, Laura",17/Ago/2016,"Da cosas muy básicas pero lo hace bien, sus exámenes son de opción múltiple y son sencilos. Es bastante divertida aunque supongo que no a todos les gusta su humor, es muy amable para resolver dudas.",8.0,10.0
"Acuña, Laura",05/Feb/2016,"Muy clara, sabe explicar, es paciente al resolver dudas. Peero, es muy básico lo que da. Sus exámenes son de opción múltiple; fáciles aunque sólo hayas repasado una noche antes. Es simpática. A mí me gusto mucho, ya que iba medio en blanco en estadística. Te la recomiendo si estás en las mismas.",9.0,10.0
"Acuña, Laura",29/Jul/2015,"Pésima profesora!!! No tiene cultura ni conocimientos pero, irónicamente, cree que sabe mucho. Húyanle!!",2.0,2.0
"Acuña, Laura",22/Jun/2015,wÁCALA!,2.0,10.0
"Acuña, Laura",31/Ene/2015,[Comentario esperando revisión],2.0,10.0
"Acuña, Laura",24/Ene/2015,[Comentario esperando revisión],5.0,8.0
"Acuña, Laura",05/Feb/2016,"Muy clara, sabe explicar, es paciente al resolver dudas. Peero, es muy básico lo que da. Sus exámenes son de opción múltiple; fáciles aunque sólo hayas repasado una noche antes. Es simpática. A mí me gusto mucho, ya que iba medio en blanco en estadística. Te la recomiendo si estás en las mismas.",9.0,10.0
"Acuña, Laura",29/Jul/2015,"Pésima profesora!!! No tiene cultura ni conocimientos pero, irónicamente, cree que sabe mucho. Húyanle!!",2.0,2.0
"Acuña, Laura",22/Jun/2015,wÁCALA!,2.0,10.0
"Acuña, Laura",31/Ene/2015,[Comentario esperando revisión],2.0,10.0
"Acuña, Laura",24/Ene/2015,[Comentario esperando revisión],5.0,8.0
"Acuña, Laura",21/Ene/2015,"es buena maestra, enseña cosas basicas que a veces no enseñan en los cursos de tronco comun, es relativamente sencillo de obtener buena calificacion si vas a clase y estudias solo con los apuntes de su clase, la recomiendo porque se preocupa por enseñar lo basico de forma sencilla.",9.0,8.0
