profesor,rating,fecha,calidad_general,facilidad,tags,num_reviews,promedio,resumen,enlace
"A. Mason, Tere","1, 4","04/Nov/2024, 23/Ene/2024","4.0, 6.0","6.0, 8.0","ASPECTOS DE CALIFICACIÓN CLAROS, MUCHOS EXÁMENES, MUCHAS TAREAS, ASISTENCIA OBLIGATORIA, LAS CLASES SON LARGAS, INSPIRACIONAL",3,6.7,"La profesora no da las clases en persona y no recomienda la clase. Los estudiantes deben exponer las unidades y recibir retroalimentación, aunque la profesora a veces no asiste. La clase se basa en un libro y es fácil, con exámenes y exposiciones basados en él. Los estudiantes pueden visitar museos y la profesora se centra más en nombres que en fechas.",https://www.misprofesores.com/profesores/Tere-A.-Mason_172910
"Abrego González, Leticia","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2","31/Jul/2015, 09/Jul/2015, 25/Jul/2014, 08/Jul/2014, 08/Jul/2014, 01/Jul/2014, 01/Jul/2014, 12/Jun/2014, 12/Jun/2014, 08/Jul/2014, 08/Jul/2014, 01/Jul/2014, 01/Jul/2014, 12/Jun/2014, 12/Jun/2014, 21/Feb/2013, 11/Feb/2013, 09/Dic/2012, 30/Jul/2012","4.0, 6.0, 2.0, 3.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0, 5.0","8.0, 10.0, 6.0, 6.0, 6.0, 8.0, 8.0, 10.0, 10.0, 6.0, 6.0, 8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 10.0, 6.0","BARCO, LA PARTICIPACIÓN IMPORTA, LOS EXÁMENES SON DIFÍCILES, CALIFICA DURO, LAS CLASES SON LARGAS, POCOS EXÁMENES",14,3.6,"La estudiante describe una experiencia negativa con una profesora de la UNAM. La maestra no asiste a clase regularmente, llega tarde, y no muestra interés en los estudiantes ni en el aprendizaje. En sus clases, se limita a pedir información y no ofrece explicaciones detalladas. Durante la práctica en un hospital, la profesora no proporciona suficiente orientación, lo que resultó en una experiencia frustrante para los estudiantes. Se recomienda evitar a esta profesora debido a su falta de compromiso y profesionalismo. La descripción destaca la decepción y el malestar de los estudiantes con su desempeño.",
"Acosta Galván, Samuel","5, 3, 4, 1, 1, 2, 2, 4, 5, 4, 4, 4, 4, 5, 5, 5, 5, 4, 4, 4, 4, 5, 5, 5, 5, 4, 2, 4","12/Ago/2024, 14/Ene/2024, 13/Ene/2024, 27/Jul/2023, 03/Jul/2023, 29/Jun/2023, 26/Jun/2023, 09/Jun/2023, 18/Dic/2022, 07/Jun/2022, 07/Jun/2022, 09/Ago/2021, 09/Ago/2021, 04/Mar/2021, 04/Mar/2021, 03/Mar/2021, 03/Mar/2021, 07/Jun/2022, 07/Jun/2022, 09/Ago/2021, 09/Ago/2021, 04/Mar/2021, 04/Mar/2021, 03/Mar/2021, 03/Mar/2021, 11/Feb/2021, 09/Feb/2021, 07/Feb/2021","8.0, 9.0, 8.0, 3.0, 5.0, 5.0, 4.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 5.0, 5.0, 10.0","10.0, 6.0, 8.0, 8.0, 10.0, 6.0, 10.0, 6.0, 10.0, 10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 6.0, 6.0, 10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 6.0, 6.0, 6.0, 8.0, 8.0","ASPECTOS DE CALIFICACIÓN CLAROS, BARCO, PREPÁRATE PARA LEER, MUCHAS TAREAS, DA BUENA RETROALIMENTACIÓN, LA PARTICIPACIÓN IMPORTA, DEJA TRABAJOS LARGOS, CLASES EXCELENTES, ASISTENCIA OBLIGATORIA, MUCHOS PROYECTOS GRUPALES, TOMARÍA SU CLASE OTRA VEZ, LAS CLASES SON LARGAS, INSPIRACIONAL, BRINDA APOYO",18,7.3,"La clase de Psicología Jurídica fue impartida por un profesor con amplia experiencia y conocimientos en el campo. Las clases se centraron en la introducción a la psicología jurídica y los derechos humanos, con un enfoque en la atención a niños abusados. Sin embargo, el temario no cubría todos los aspectos del programa, como psicodiagnóstico y prácticas con pacientes reales. El profesor se preocupaba por la comprensión de los estudiantes y les brindaba retroalimentación. Las clases a veces se volvían tediosas debido a la falta de participación y la longitud de las exposiciones. Las adjuntas del profesor manejaban la dinámica de la clase y realizaban actividades como debates de películas y presentaciones de casos. A pesar de que no se cubrieron todos los aspectos del temario, el profesor fue recomendado por los estudiantes por su dedicación y capacidad para aclarar dudas. Las prácticas en escenarios reales fueron una parte importante de la clase, pero no se aplicaron muchas pruebas en la clase. En general, la clase fue recomendada por los estudiantes por su enfoque en la atención a niños abusados y la retroalimentación del profesor.",
"Acuña, Laura","5, 4, 5, 4, 4, 4, 1, 1, 5, 5, 4, 4, 1, 1, 5, 5, 4, 4, 2, 4, 4, 3","30/Jun/2024, 30/Jul/2021, 09/Ago/2018, 17/Ago/2016, 05/Feb/2016, 05/Feb/2016, 29/Jul/2015, 29/Jul/2015, 22/Jun/2015, 22/Jun/2015, 05/Feb/2016, 05/Feb/2016, 29/Jul/2015, 29/Jul/2015, 22/Jun/2015, 22/Jun/2015, 21/Ene/2015, 21/Ene/2015, 20/Ene/2015, 03/Jul/2014, 22/Ene/2014, 29/Jul/2013","8.0, 9.0, 10.0, 8.0, 9.0, 9.0, 2.0, 2.0, 2.0, 2.0, 9.0, 9.0, 2.0, 2.0, 2.0, 2.0, 9.0, 8.0, 3.0, 10.0, 9.0, 6.0","8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 2.0, 2.0, 10.0, 10.0, 10.0, 10.0, 2.0, 2.0, 10.0, 10.0, 8.0, 10.0, 8.0, 8.0, 10.0, 6.0","ASPECTOS DE CALIFICACIÓN CLAROS, BARCO, DA BUENA RETROALIMENTACIÓN, TOMARÍA SU CLASE OTRA VEZ, LOS EXÁMENES SON DIFÍCILES, MUY CÓMICO, POCOS EXÁMENES, BRINDA APOYO",27,6.2,"La clase de la Dra. es muy relajada y fácil, pero requiere estudio y atención. Explica los fundamentos y aplicaciones de las pruebas estadísticas, y es paciente para resolver dudas. Los exámenes son de opción múltiple y fáciles, pero se recomienda ir a clase y estudiar con sus apuntes. Es clara y simpática, aunque los contenidos son básicos. La profesora es buena en general, pero puede ser poco tolerante y sarcástica. La atención es personalizada y los exámenes son sencillos. Es informal y llega tarde a clase.",
"Aguayo, Alejandra","1, 3, 5, 5, 5, 5, 1, 3, 5, 4, 5, 2","30/Nov/2019, 11/Nov/2019, 16/Jul/2018, 30/Jun/2017, 28/Dic/2016, 05/Feb/2016, 05/Jun/2015, 17/Sep/2014, 06/Ago/2014, 28/Jul/2014, 25/Jul/2014, 25/Jul/2014","2.0, 2.0, 10.0, 9.0, 10.0, 9.0, 2.0, 8.0, 9.0, 9.0, 9.0, 5.0","10.0, 2.0, 6.0, 6.0, 6.0, 10.0, 10.0, 6.0, 6.0, 4.0, 6.0, 6.0","ASPECTOS DE CALIFICACIÓN CLAROS, BARCO, TOMARÍA SU CLASE OTRA VEZ, LOS EXÁMENES SON DIFÍCILES, CALIFICA DURO, BRINDA APOYO",13,7.2,"El texto resume opiniones sobre una profesora, destacando su claridad, paciencia y enfoque en exámenes. Los estudiantes mencionan su estilo de enseñanza, que incluye explicaciones detalladas, repaso de material y énfasis en la comprensión. Sin embargo, también se menciona su falta de permisividad con el apuntado y su estilo de calificación 100% examen. A pesar de algunas críticas, la mayoría de los estudiantes la considera una buena profesora, destacando su capacidad para explicar conceptos y la accesibilidad de sus exámenes.",https://www.misprofesores.com/profesores/Alejandra-Aguayo_64512
"Aguilar Arredondo, Andrea",4,06/Jul/2016,9.0,10.0,"TOMARÍA SU CLASE OTRA VEZ, BRINDA APOYO, CLASES EXCELENTES",1,9.0,"La profesora es excelente, sus explicaciones son claras y concisas. A pesar de que las prácticas de campo fueron pocas, se nota que ama su trabajo y es muy inteligente. Me llevó a prácticas de campo donde pude comprender conceptos que antes no estaban claros para mí.           La profesora es excelente y clara en sus explicaciones. A pesar de que las prácticas de campo fueron pocas, se nota que ama su trabajo y es muy inteligente. Me llevó a prácticas de campo donde pude comprender conceptos que antes no estaban claros para mí.",https://www.misprofesores.com/profesores/Andrea-Aguilar-Arredondo_79783
"Aguilar Nery, Jesús",4,10/Jun/2016,9.0,8.0,"TOMARÍA SU CLASE OTRA VEZ, DA BUENA RETROALIMENTACIÓN, LA PARTICIPACIÓN IMPORTA",1,9.0,"Como profesor, es agradable y sus clases son claras y amenas. Sin embargo, a veces es distraído. Es abierto y fomenta el diálogo, lo que permite a los estudiantes aprender mucho de sus lecciones.",
"Aguilar Ribera, Unibercidad.Autónoma De Mexico",4,21/Abr/2021,10.0,10.0,HACE EXÁMENES SORPRESA,1,10.0,"Un grupo de estudiantes comenzó la escuela superior trabajando en equipo, realizando proyectos sobre un tema específico con dedicación y atención a los detalles. Se destacaron aspectos como la tenacidad, la educación y la colaboración para lograr resultados. El texto menciona que el año es 2021 y se realizó una actividad el 19 de abril.",
"Alatorre Rico, Javier","3, 3, 4, 4, 1, 1, 1, 1, 1, 1, 3, 3, 4, 4, 1, 1, 1, 1, 1, 1, 4, 4, 2, 4, 1, 4, 2, 3, 1, 3, 4, 5, 4, 4, 3, 4, 5, 4, 3, 3, 1, 1, 4, 4, 4, 4, 2, 2, 3, 3, 1, 1, 4, 4, 4, 4, 2, 2, 1, 1, 2, 1, 1, 4, 1, 5, 1, 1, 4, 2, 3, 1, 1, 4, 4, 1, 2, 1, 3, 5, 2, 3, 3, 3, 5, 5, 2, 1, 1, 3, 2, 1","30/May/2025, 30/May/2025, 25/Ene/2024, 25/Ene/2024, 18/Ene/2024, 18/Ene/2024, 18/Dic/2023, 18/Dic/2023, 16/Dic/2023, 16/Dic/2023, 30/May/2025, 30/May/2025, 25/Ene/2024, 25/Ene/2024, 18/Ene/2024, 18/Ene/2024, 18/Dic/2023, 18/Dic/2023, 16/Dic/2023, 16/Dic/2023, 01/Ago/2023, 17/Ene/2023, 30/Jun/2022, 11/Jun/2022, 11/Ene/2022, 22/Ago/2021, 15/Sep/2020, 13/May/2020, 09/Feb/2020, 05/Sep/2019, 23/Jul/2019, 23/Jul/2019, 10/Jul/2019, 05/Jul/2019, 29/May/2019, 19/May/2019, 09/Feb/2019, 14/Ene/2019, 14/Dic/2018, 14/Dic/2018, 24/Ago/2018, 24/Ago/2018, 12/Ago/2018, 12/Ago/2018, 07/Ago/2018, 07/Ago/2018, 20/Jul/2018, 20/Jul/2018, 14/Dic/2018, 14/Dic/2018, 24/Ago/2018, 24/Ago/2018, 12/Ago/2018, 12/Ago/2018, 07/Ago/2018, 07/Ago/2018, 20/Jul/2018, 20/Jul/2018, 25/Jun/2018, 31/May/2018, 19/Ene/2018, 17/Ene/2018, 26/Jul/2017, 04/Jul/2017, 26/May/2017, 21/Ene/2017, 30/Jun/2016, 28/Abr/2016, 06/Ene/2016, 26/Jun/2015, 21/Ene/2015, 18/Ene/2015, 06/May/2014, 07/May/2013, 06/May/2013, 29/Ene/2013, 22/Ene/2013, 02/Dic/2012, 26/Ago/2012, 08/Jul/2012, 25/Ene/2012, 24/Ene/2012, 21/Ene/2012, 18/Ene/2012, 14/Ene/2012, 10/Ene/2012, 15/Dic/2011, 18/Ago/2011, 31/Jul/2011, 09/Jun/2011, 24/Mar/2011, 20/Ene/2011","4.0, 4.0, 5.0, 5.0, 3.0, 3.0, 4.0, 4.0, 2.0, 2.0, 4.0, 4.0, 5.0, 5.0, 3.0, 3.0, 4.0, 4.0, 2.0, 2.0, 10.0, 9.0, 4.0, 7.0, 2.0, 5.0, 5.0, 6.0, 4.0, 5.0, 6.0, 8.0, 7.0, 9.0, 5.0, 7.0, 9.0, 7.0, 7.0, 7.0, 6.0, 6.0, 10.0, 10.0, 9.0, 9.0, 6.0, 6.0, 7.0, 7.0, 6.0, 6.0, 10.0, 10.0, 9.0, 9.0, 6.0, 6.0, 7.0, 3.0, 3.0, 3.0, 2.0, 8.0, 2.0, 7.0, 5.0, 5.0, 10.0, 2.0, 2.0, 2.0, 4.0, 7.0, 10.0, 3.0, 8.0, 4.0, 9.0, 8.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 7.0, 6.0, 6.0, 10.0, 3.0, 10.0","4.0, 4.0, 2.0, 2.0, 6.0, 6.0, 4.0, 4.0, 2.0, 2.0, 4.0, 4.0, 2.0, 2.0, 6.0, 6.0, 4.0, 4.0, 2.0, 2.0, 4.0, 4.0, 6.0, 6.0, 8.0, 2.0, 6.0, 4.0, 6.0, 2.0, 6.0, 10.0, 10.0, 6.0, 10.0, 8.0, 8.0, 10.0, 8.0, 8.0, 8.0, 8.0, 6.0, 6.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 6.0, 6.0, 10.0, 10.0, 8.0, 8.0, 4.0, 6.0, 4.0, 10.0, 2.0, 8.0, 2.0, 6.0, 6.0, 4.0, 10.0, 8.0, 6.0, 4.0, 6.0, 6.0, 2.0, 6.0, 6.0, 2.0, 4.0, 2.0, 8.0, 8.0, 6.0, 6.0, 2.0, 6.0, 10.0, 6.0, 4.0, 6.0, 6.0, 6.0","BARCO, MUCHAS TAREAS, PREPÁRATE PARA LEER, DA BUENA RETROALIMENTACIÓN, LA PARTICIPACIÓN IMPORTA, DEJA TRABAJOS LARGOS, DA CRÉDITO EXTRA, ASISTENCIA OBLIGATORIA, MUCHOS PROYECTOS GRUPALES, TOMARÍA SU CLASE OTRA VEZ, CALIFICA DURO, LAS CLASES SON LARGAS, POCOS EXÁMENES, BRINDA APOYO, HACE EXÁMENES SORPRESA",89,5.4,"En general, los estudiantes recomiendan trabajar con el profesor Javier si estás dispuesto a leer mucho, realizar trabajos y participar en clase. Sin embargo, advierten que puede ser muy exigente y que las clases pueden ser muy largas y tediosas. Es importante evaluar si estás dispuesto a enfrentar estos desafíos para aprovechar su conocimiento. El profesor Javier es un investigador sólido en el campo de la Psicología Educativa, especialmente en el enfoque sociocultural. Sin embargo, su enseñanza puede ser desafiante para algunos estudiantes debido a su exigencia y falta de claridad en la evaluación. Es importante considerar cuidadosamente si su estilo de enseñanza se adapta a tus necesidades y preferencias como estudiante.",https://www.misprofesores.com/profesores/javier-alatorre-rico_32238
"Alburquerque, Carlos","4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 2, 4, 1, 3, 1, 1, 5, 5, 5, 5, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5","16/Feb/2025, 05/Jun/2024, 25/Ene/2024, 08/Dic/2023, 21/Jun/2023, 21/Jun/2023, 21/Jun/2023, 06/Jun/2023, 26/Jun/2020, 11/Mar/2020, 10/Dic/2019, 09/Ene/2019, 15/Nov/2018, 30/Jul/2016, 25/Ene/2015, 09/Jul/2014, 25/Abr/2014, 14/Dic/2013, 13/Ago/2013, 02/Ago/2013, 17/Jul/2013, 15/Jul/2013, 02/Ene/2013, 26/Nov/2012, 10/Ene/2012, 18/Dic/2011, 01/Dic/2011, 07/Nov/2011, 30/Ago/2011, 30/Ago/2011, 30/Ago/2011, 07/Ago/2011, 07/Jul/2011","8.0, 7.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 2.0, 10.0, 9.0, 8.0, 6.0, 6.0, 2.0, 2.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 4.0, 10.0, 10.0, 9.0, 2.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0","8.0, 2.0, 6.0, 6.0, 10.0, 10.0, 10.0, 6.0, 8.0, 6.0, 8.0, 8.0, 8.0, 8.0, 4.0, 6.0, 6.0, 6.0, 6.0, 10.0, 10.0, 10.0, 2.0, 8.0, 10.0, 4.0, 2.0, 10.0, 8.0, 8.0, 8.0, 6.0, 10.0","BARCO, PREPÁRATE PARA LEER, DA BUENA RETROALIMENTACIÓN, LA PARTICIPACIÓN IMPORTA, CLASES EXCELENTES, DEJA TRABAJOS LARGOS, ASISTENCIA OBLIGATORIA, TOMARÍA SU CLASE OTRA VEZ, LOS EXÁMENES SON DIFÍCILES, CALIFICA DURO, MUY CÓMICO, RESPETADO POR LOS ESTUDIANTES, LAS CLASES SON LARGAS, POCOS EXÁMENES, INSPIRACIONAL, BRINDA APOYO",88,7.3,"La clase de primer semestre es evaluada de manera positiva por sus estudiantes. El profesor es descrito como ""cool"", con exámenes via Moodle que requieren atención y conocimiento sobre la vida cotidiana de Freud y la película ""Will Hunting"". El profesor es crítico y utiliza el contexto social, lo que hace que sus exámenes sean complicados pero gratificantes. Es recomendado para aquellos interesados en el psicoanálisis, ya que domina el tema y utiliza la filosofía para reflexionar. El profesor es descrito como culto, agradable y paciente, aunque se le critica por ser demasiado casado con el pensamiento de izquierda y cerrado con el conservadurismo. En general, los estudiantes lo consideran un buen profesor, divertido y exigente, con un buen sentido del humor y conocimiento en su área. Se destaca su dedicación y puntualidad, y se recomienda para tomar algunas materias con él. Sin embargo, algunos estudiantes mencionan que se enfoca demasiado en el psicoanálisis y ignora otras ramas, lo que puede ser un problema para aquellos que buscan una formación más práctica. También se menciona que es petulante y engreído, y que puede ser difícil de concordar con sus opiniones.   ",https://www.misprofesores.com/profesores/Carlos-Alburquerque_26672
